is_ublend,P,P_expected,Lambda,N,b,s,E,A,L,nb,Q
False,0.9,0.9003109,4000,10,3,10,3995,148,161,25,0.4352874
False,0.9,0.9001567,4000,20,3,10,2012,96,109,19,0.5728383
False,0.9,0.9000169,4000,30,3,10,2000,160,173,11,0.7080067
False,0.9,0.9001441,4000,50,3,10,1334,189,202,6,1.093586
False,0.9,0.9000684,4000,40,3,10,1331,137,150,8,0.8772004
False,0.9,1.0,2000,2,3,10,2000,77,90,24,0.5587648
False,0.9,1.0,4000,2,3,10,4000,103,116,37,0.4153492
False,0.9,1.0,6000,2,3,10,6000,128,141,45,0.3523918
False,0.9,0.9014428,6000,10,3,10,5999,150,163,38,0.355593
False,0.9,0.900297,6000,20,3,10,3320,123,136,25,0.460341
False,0.9,0.9000064,6000,30,3,10,2990,151,164,18,0.5211182
False,0.9,0.9000297,6000,40,3,10,2998,217,230,12,0.6236097
False,0.9,0.9000291,6000,50,3,10,1997,168,181,10,0.7255009
False,0.9,0.9440882,4000,5,3,10,3999,100,113,38,0.4149798
False,0.9,0.9001111,4000,45,3,10,1332,161,174,7,0.9764729
False,0.9,0.9000981,4000,35,3,10,1337,114,127,10,0.7914671
False,0.9,0.9000065,4000,44,3,10,1332,157,170,7,0.9577091
False,0.9,0.900005,4000,49,3,10,1335,185,198,6,1.074106
False,0.9,0.900033,4000,47,3,10,1329,176,189,6,1.036277
False,0.9,0.9000199,4000,37,3,10,1334,123,136,9,0.8225275
False,0.9,0.9000974,4000,46,3,10,1333,165,178,7,0.9945507
False,0.9,0.9000893,4000,48,3,10,1335,181,194,6,1.055384
False,0.9,0.900173,4000,42,3,10,1334,145,158,8,0.9128805
False,0.9,0.9000106,4000,43,3,10,1331,153,166,7,0.9395901
False,0.9,0.9001097,4000,41,3,10,1333,141,154,8,0.894755
False,0.9,0.9000454,4000,25,3,10,1997,126,139,14,0.6280053
False,0.9,0.9000614,4000,36,3,10,1332,117,130,10,0.8082082
False,0.9,0.9001962,4000,38,3,10,1335,127,140,9,0.8406935
False,0.9,0.0,4000,100,3,10,0,0,13,0,2147483647.0
False,0.9,0.0,4000,80,3,10,0,0,13,0,2147483647.0
False,0.9,0.9000583,4000,39,3,10,1329,130,143,9,0.8582295
False,0.9,0.9000917,4000,58,3,10,1333,266,279,4,1.429873
False,0.9,0.9000022,4000,59,3,10,1001,198,211,4,1.452907
False,0.9,0.9000169,4000,57,3,10,1333,261,274,4,1.406436
False,0.9,0.9000953,4000,55,3,10,1001,164,177,5,1.257591
False,0.9,0.9000422,4000,56,3,10,1332,256,269,4,1.383977
False,0.9,0.0,4000,60,3,10,0,0,13,0,2147483647.0
False,0.9,1.0,10000,2,3,10,10000,164,177,59,0.2898915
False,0.9,0.9092418,10000,10,3,10,10000,164,177,59,0.2898915
False,0.9,0.9000411,10000,30,3,10,5022,148,161,32,0.3863644
False,0.9,0.0,4000,85,3,10,0,0,13,0,2147483647.0
False,0.9,0.9001148,4000,15,3,10,2343,102,115,21,0.5337597
False,0.9,0.9002784,4000,9,3,10,3998,129,142,29,0.4222682
False,0.9,1.0,4000,1,3,10,4000,103,116,37,0.4153492
False,0.9,0.9001508,4000,18,3,10,2108,96,109,20,0.558456
False,0.9,0.9003327,4000,17,3,10,2138,93,106,21,0.5509039
False,0.9,0.9000413,4000,19,3,10,2037,93,106,20,0.5659081
False,0.9,0.9000121,10000,50,3,10,4998,266,279,17,0.4845332
False,0.9,0.9000181,4000,28,3,10,1996,146,159,12,0.6739213
