t,node,discovery_rate,Na,average_Na,average_Ne,pos_x,pos_y,min_discovery_rate,max_discovery_rate,stdev_discovery_rate
8000,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8001,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8002,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8003,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8004,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8005,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8006,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8007,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8008,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8009,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8010,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8011,,0.0,80,79.0,30.0,,,0.0,0.0,0.0
8012,,0.012499999999999999,80,79.0,30.0,,,0.0,0.012658227848101266,0.0014152328971517656
8013,,0.012499999999999999,80,79.0,30.0,,,0.0,0.012658227848101266,0.0014152328971517656
8014,,0.012499999999999999,80,79.0,30.0,,,0.0,0.012658227848101266,0.0014152328971517656
8015,,0.012499999999999999,80,79.0,30.0,,,0.0,0.012658227848101266,0.0014152328971517656
8016,,0.012499999999999999,80,79.0,30.0,,,0.0,0.012658227848101266,0.0014152328971517656
8017,,0.012499999999999999,80,79.0,30.0,,,0.0,0.012658227848101266,0.0014152328971517656
8018,,0.012499999999999999,80,79.0,30.0,,,0.0,0.012658227848101266,0.0014152328971517656
8019,,0.024999999999999998,80,79.0,30.0,,,0.012658227848101266,0.02531645569620253,0.0019887338631482438
8020,,0.0375,80,79.0,30.0,,,0.02531645569620253,0.0379746835443038,0.002420027825409426
8021,,0.0375,80,79.0,30.0,,,0.02531645569620253,0.0379746835443038,0.002420027825409426
8022,,0.0375,80,79.0,30.0,,,0.02531645569620253,0.0379746835443038,0.002420027825409426
8023,,0.0375,80,79.0,30.0,,,0.02531645569620253,0.0379746835443038,0.002420027825409426
8024,,0.0375,80,79.0,30.0,,,0.02531645569620253,0.0379746835443038,0.002420027825409426
8025,,0.0375,80,79.0,30.0,,,0.02531645569620253,0.0379746835443038,0.002420027825409426
8026,,0.05,80,79.0,30.0,,,0.0379746835443038,0.05063291139240506,0.0027762026304199382
8027,,0.05,80,79.0,30.0,,,0.0379746835443038,0.05063291139240506,0.0027762026304199382
8028,,0.0625,80,79.0,30.0,,,0.05063291139240506,0.06329113924050633,0.003083400961052047
8029,,0.075,80,79.0,30.0,,,0.06329113924050633,0.0759493670886076,0.003355102979068473
8030,,0.0875,80,79.0,30.0,,,0.0759493670886076,0.08860759493670886,0.0035993561348889873
8031,,0.0875,80,79.0,30.0,,,0.0759493670886076,0.08860759493670886,0.0035993561348889873
8032,,0.0875,80,79.0,30.0,,,0.0759493670886076,0.08860759493670886,0.0035993561348889873
8033,,0.0875,80,79.0,30.0,,,0.0759493670886076,0.08860759493670886,0.0035993561348889873
8034,,0.0875,80,79.0,30.0,,,0.0759493670886076,0.08860759493670886,0.0035993561348889873
8035,,0.0875,80,79.0,30.0,,,0.0759493670886076,0.08860759493670886,0.0035993561348889873
8036,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8037,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8038,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8039,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8040,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8041,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
8042,,0.1,80,79.0,30.0,,,0.08860759493670886,0.10126582278481013,0.0038214273829870445
